skink_lib,Circoviridae,Hantaviridae,Hepeviridae,Picornaviridae,Amnoonviridae,Parvoviridae,Astroviridae,Birnaviridae,Chuviridae,Adenoviridae,Caliciviridae
S1,0.004968062,0.356990774,0.633782825,0.004258339,0,0,0,0,0,0,0
S2,0.010802469,0,0,0.969135802,0.020061728,0,0,0,0,0,0
S3,0,0,0,0,0,0,0,0,0,0,0
S4,0,0,0,1,0,0,0,0,0,0,0
S5,0,0,0,0,0,0,0,0,0,0,0
S6,0,0,0,0,0,0,0,0,0,0,0
S7,0,0,0,0,0,1,0,0,0,0,0
S8,0,0,0,0,0,0,1,0,0,0,0
S9,0,0,0,0.000894134,0,0,0,0.366416309,0.632689557,0,0
S10,0,0,0,0,0,0,0,0,0,0,0
S11,0,0,0,0,0,0,0,0,0,0,0
S12,0,0,0,0,0,0,1,0,0,0,0
S13,0,0.27865241,0,0,0,0,0,0,0,0.715974424,0.005373166
S14,0,0,0,0,0,0,0,0,0,0,0
S15,0,0,0,0,0,0,0,0,0,0,0
S16,0,0,0,0,0,0,1,0,0,0,0